ts,elapsed,gpu_core,gpu_util,gpu_power,gpu_clock,gpu_vram,cpu_tctl,cpu_ccd1,pump_rpm,rad_rpm,rad_duty,f1_duty,f2_duty,f3_duty,f1_rpm,f2_rpm,f3_rpm
1787460790,72.8,58.0,42.0,203.87,2857.0,62.0,57.25000762939453,53.125003814697266,2160.0,1555.299560546875,42.74509811401367,25,28,35,610,649,827
1787460791,74.3,58.0,43.0,203.87,2857.0,62.0,56.87500762939453,55.000003814697266,2166.93408203125,1555.299560546875,42.74509811401367,25,28,35,612,652,831
1787460793,75.8,58.0,45.0,203.65,2857.0,62.0,55.87500762939453,50.375003814697266,2173.9130859375,1539.338623046875,42.74509811401367,25,28,35,612,650,833
1787460794,77.3,58.0,43.0,203.64,2857.0,62.0,55.37500762939453,53.625003814697266,2173.9130859375,1539.338623046875,42.74509811401367,25,28,35,609,648,831
1787460796,78.8,58.0,43.0,203.27,2857.0,62.0,54.37500762939453,50.875003814697266,2166.93408203125,1539.338623046875,42.74509811401367,25,28,35,614,650,833
1787460797,80.3,58.0,42.0,204.39,2857.0,62.0,54.37500762939453,50.875003814697266,2166.93408203125,1555.299560546875,42.74509811401367,25,28,35,610,646,834
1787460799,81.8,58.0,42.0,204.06,2857.0,62.0,54.37500762939453,51.750003814697266,2156.549560546875,1567.9442138671875,42.74509811401367,25,28,35,612,650,831
1787460800,83.3,58.0,44.0,203.24,2857.0,62.0,54.25000762939453,55.000003814697266,2160.0,1569.7674560546875,42.74509811401367,25,28,35,610,647,834
1787460802,84.8,58.0,44.0,202.83,2857.0,62.0,55.25000762939453,55.875003814697266,2166.93408203125,1551.72412109375,42.74509811401367,25,28,35,612,651,833
1787460803,86.3,58.0,41.0,203.28,2857.0,62.0,55.12500762939453,55.375003814697266,2166.93408203125,1557.0933837890625,42.74509811401367,25,28,35,612,650,831
1787460805,87.8,58.0,44.0,204.53,2857.0,62.0,55.00000762939453,53.625003814697266,2170.41796875,1551.72412109375,42.74509811401367,25,28,35,613,648,832
1787460806,89.3,58.0,42.0,203.26,2857.0,62.0,54.75000762939453,54.625003814697266,2160.0,1532.349609375,42.74509811401367,25,28,35,609,650,831
1787460808,90.8,58.0,45.0,203.16,2857.0,62.0,55.37500762939453,52.250003814697266,2166.93408203125,1539.338623046875,42.74509811401367,25,28,30,616,648,750
1787460809,92.3,57.0,42.0,201.58,2857.0,62.0,55.25000762939453,51.625003814697266,2173.9130859375,1541.095947265625,42.74509811401367,25,28,30,610,647,718
1787460811,93.8,57.0,41.0,201.72,2857.0,62.0,55.00000762939453,51.125003814697266,2166.93408203125,1555.299560546875,42.74509811401367,25,28,30,611,648,712
1787460812,95.3,57.0,41.0,201.15,2857.0,62.0,54.87500762939453,53.125003814697266,2170.41796875,1553.509765625,42.74509811401367,25,28,30,614,650,715
1787460814,96.8,57.0,45.0,201.81,2857.0,62.0,55.25000762939453,52.750003814697266,2173.9130859375,1551.72412109375,42.74509811401367,25,28,30,613,647,714
1787460815,98.3,57.0,42.0,201.46,2857.0,62.0,55.12500762939453,52.625003814697266,2166.93408203125,1571.5948486328125,42.74509811401367,25,28,30,613,647,715
1787460817,99.8,57.0,43.0,201.61,2857.0,62.0,54.75000762939453,51.625003814697266,2166.93408203125,1564.310546875,42.74509811401367,25,28,30,611,650,715
1787460818,101.3,57.0,44.0,202.11,2857.0,62.0,55.37500762939453,52.125003814697266,2166.93408203125,1569.7674560546875,42.74509811401367,25,28,30,612,647,715
1787460820,102.8,57.0,43.0,202.64,2857.0,62.0,55.37500762939453,52.125003814697266,2166.93408203125,1569.7674560546875,42.74509811401367,25,28,30,612,648,714
1787460821,104.3,57.0,41.0,202.44,2857.0,62.0,55.12500762939453,51.625003814697266,2166.93408203125,1555.299560546875,42.74509811401367,25,28,30,612,647,713
1787460823,105.8,57.0,41.0,202.38,2857.0,62.0,55.12500762939453,51.625003814697266,2166.93408203125,1555.299560546875,42.74509811401367,25,28,30,609,645,716
1787460824,107.3,57.0,44.0,203.08,2857.0,62.0,55.12500762939453,52.125003814697266,2173.9130859375,1557.0933837890625,42.74509811401367,25,28,30,612,648,713
1787460826,108.8,57.0,41.0,201.93,2857.0,62.0,55.12500762939453,52.125003814697266,2173.9130859375,1557.0933837890625,42.74509811401367,25,28,30,613,651,713
1787460827,110.3,57.0,41.0,202.72,2857.0,62.0,56.00000762939453,51.625003814697266,2173.9130859375,1539.338623046875,42.74509811401367,25,28,30,614,650,716
1787460829,111.8,57.0,42.0,199.18,2857.0,62.0,56.00000762939453,51.625003814697266,2173.9130859375,1539.338623046875,42.74509811401367,25,28,30,611,647,716
1787460830,113.3,57.0,41.0,200.03,2857.0,62.0,55.62500762939453,52.375003814697266,2166.93408203125,1516.8538818359375,41.960784912109375,25,28,30,610,650,717
1787460832,114.8,57.0,42.0,200.83,2857.0,62.0,55.62500762939453,52.375003814697266,2166.93408203125,1516.8538818359375,41.960784912109375,25,28,30,614,650,715
1787460833,116.3,57.0,42.0,200.91,2857.0,62.0,57.87500762939453,63.000003814697266,2170.41796875,1535.836181640625,41.960784912109375,25,28,30,610,646,715
1787460835,117.8,57.0,46.0,204.96,2857.0,62.0,57.87500762939453,63.000003814697266,2170.41796875,1535.836181640625,41.960784912109375,25,28,30,614,648,716
1787460836,119.3,57.0,45.0,203.73,2857.0,62.0,59.37500762939453,53.125003814697266,2166.93408203125,1518.5601806640625,41.960784912109375,25,28,30,612,648,713
1787460838,120.8,57.0,47.0,204.42,2857.0,62.0,58.62500762939453,56.375003814697266,2170.41796875,1532.349609375,41.960784912109375,25,28,30,611,650,713
1787460839,122.3,57.0,44.0,202.61,2857.0,62.0,59.62500762939453,65.875,2163.46142578125,1537.58544921875,41.960784912109375,25,28,30,613,645,713
1787460841,123.8,57.0,44.0,201.82,2857.0,62.0,64.87500762939453,63.625003814697266,2163.46142578125,1516.8538818359375,41.960784912109375,25,28,30,609,650,713
1787460842,125.3,57.0,45.0,201.45,2857.0,62.0,67.12500762939453,65.5,2170.41796875,1551.72412109375,41.960784912109375,25,28,30,612,647,716
1787460844,126.8,57.0,42.0,202.45,2857.0,62.0,67.87500762939453,70.5,2166.93408203125,1537.58544921875,41.960784912109375,25,28,30,613,650,715
1787460845,128.3,56.0,42.0,181.15,2857.0,62.0,67.75000762939453,68.625,2170.41796875,1535.836181640625,41.960784912109375,25,28,30,612,649,715
1787460847,129.8,56.0,43.0,203.87,2857.0,62.0,68.12500762939453,61.750003814697266,2166.93408203125,1557.0933837890625,46.66666793823242,25,28,30,611,647,715
1787460848,131.3,57.0,50.0,230.57,2857.0,62.0,67.87500762939453,61.250003814697266,2163.46142578125,1670.7921142578125,46.66666793823242,25,28,30,616,651,714
1787460850,132.8,57.0,50.0,229.91,2857.0,62.0,67.50000762939453,63.000003814697266,2160.0,1648.3516845703125,46.66666793823242,25,28,30,612,648,714
1787460851,134.3,58.0,51.0,231.71,2857.0,62.0,67.37500762939453,68.625,2166.93408203125,1662.5615234375,46.66666793823242,25,28,30,614,647,711
1787460853,135.8,58.0,49.0,231.73,2857.0,62.0,67.50000762939453,63.125003814697266,2160.0,1646.3414306640625,46.66666793823242,25,28,30,614,650,712
1787460854,137.3,58.0,49.0,231.5,2857.0,62.0,67.50000762939453,66.0,2170.41796875,1689.612060546875,47.8431396484375,25,28,30,610,647,714
1787460856,138.8,58.0,49.0,232.01,2857.0,62.0,67.87500762939453,74.875,2166.93408203125,1735.218505859375,51.764705657958984,25,28,30,614,648,711
1787460857,140.3,58.0,49.0,230.84,2857.0,62.0,67.37500762939453,62.625003814697266,2173.9130859375,1797.6031494140625,51.764705657958984,25,28,30,611,648,713
1787460859,141.8,58.0,50.0,232.18,2857.0,62.0,66.00000762939453,56.125003814697266,2170.41796875,1764.7059326171875,51.764705657958984,25,28,30,612,646,713
1787460860,143.3,55.0,38.0,170.27,2872.0,62.0,63.12500762939453,54.500003814697266,2173.9130859375,1781.002685546875,51.764705657958984,25,28,30,615,649,710
1787460862,144.8,55.0,36.0,164.42,2850.0,62.0,61.87500762939453,54.500003814697266,2166.93408203125,1778.6561279296875,51.764705657958984,25,28,30,614,645,710
1787460863,146.3,55.0,36.0,163.0,2842.0,62.0,59.75000762939453,53.125003814697266,2163.46142578125,1778.6561279296875,51.764705657958984,25,28,30,608,647,710
1787460865,147.8,55.0,35.0,162.43,2842.0,62.0,59.25000762939453,54.500003814697266,2173.9130859375,1797.6031494140625,51.764705657958984,25,28,30,610,647,710
1787460866,149.3,55.0,38.0,169.15,2857.0,62.0,58.12500762939453,53.125003814697266,2163.46142578125,1776.3157958984375,51.764705657958984,25,28,30,610,647,710
1787460868,150.8,54.0,30.0,160.98,2842.0,60.0,57.87500762939453,53.500003814697266,2163.46142578125,1800.0,51.764705657958984,25,28,30,612,647,710
1787460869,152.3,55.0,35.0,161.18,2835.0,60.0,60.12500762939453,61.625003814697266,2170.41796875,1800.0,51.764705657958984,25,28,30,613,650,710
1787460871,153.8,55.0,41.0,170.36,2872.0,60.0,60.12500762939453,54.500003814697266,2166.93408203125,1795.2127685546875,51.764705657958984,25,28,30,613,649,713
1787460872,155.3,54.0,33.0,141.07,2872.0,60.0,60.12500762939453,54.500003814697266,2166.93408203125,1795.2127685546875,51.764705657958984,25,28,30,610,649,711
1787460874,156.8,54.0,30.0,144.28,2820.0,60.0,59.62500762939453,57.250003814697266,2170.41796875,1797.6031494140625,51.764705657958984,25,28,30,614,652,710
1787460875,158.3,54.0,30.0,143.07,2820.0,60.0,59.62500762939453,57.250003814697266,2170.41796875,1797.6031494140625,51.764705657958984,25,28,30,613,647,710
1787460877,159.8,53.0,29.0,143.07,2827.0,60.0,71.37500762939453,82.37500762939453,2160.0,1781.002685546875,51.764705657958984,25,28,30,610,645,710
1787460878,161.3,52.0,6.0,118.58,2542.0,60.0,71.37500762939453,82.37500762939453,2160.0,1781.002685546875,51.764705657958984,25,28,30,613,649,714
