ts,elapsed,gpu_core,gpu_util,gpu_power,gpu_clock,gpu_vram,cpu_tctl,cpu_ccd1,pump_rpm,rad_rpm,rad_duty,f1_duty,f2_duty,f3_duty,f1_rpm,f2_rpm,f3_rpm
1787463806,0.6,70.0,97.0,472.0,2775.0,74.0,62.62500762939453,56.875003814697266,2163.46142578125,1760.104248046875,50.98039245605469,85,89,91,1986,1801,1754
1787463808,2.1,70.0,97.0,470.92,2775.0,74.0,62.62500762939453,56.875003814697266,2163.46142578125,1760.104248046875,50.98039245605469,85,89,91,1993,1796,1754
1787463809,3.6,70.0,96.0,468.99,2775.0,74.0,63.62500762939453,60.750003814697266,2163.46142578125,1760.104248046875,50.98039245605469,85,89,91,1993,1801,1749
1787463811,5.3,70.0,96.0,478.51,2775.0,74.0,63.62500762939453,60.750003814697266,2163.46142578125,1760.104248046875,50.98039245605469,85,89,91,2013,1801,1759
1787463813,6.8,67.0,77.0,386.58,2790.0,72.0,65.12500762939453,55.375003814697266,2163.46142578125,1735.218505859375,50.98039245605469,85,89,91,1986,1796,1754
1787463814,8.3,69.0,97.0,462.32,2782.0,72.0,65.12500762939453,55.375003814697266,2163.46142578125,1735.218505859375,50.98039245605469,85,89,91,1986,1807,1744
1787463816,9.8,69.0,96.0,465.55,2775.0,72.0,63.25000762939453,57.250003814697266,2163.46142578125,1744.18603515625,50.98039245605469,85,89,91,1993,1801,1744
1787463817,11.3,69.0,95.0,463.59,2775.0,72.0,63.25000762939453,57.250003814697266,2163.46142578125,1744.18603515625,50.98039245605469,85,89,91,1980,1801,1749
1787463819,12.8,69.0,97.0,466.08,2775.0,72.0,61.87500762939453,59.125003814697266,2170.41796875,1778.6561279296875,50.98039245605469,85,89,91,2000,1807,1754
1787463820,14.3,69.0,97.0,463.55,2782.0,72.0,61.87500762939453,59.125003814697266,2170.41796875,1778.6561279296875,50.98039245605469,85,89,91,1993,1796,1759
1787463822,15.8,69.0,94.0,464.24,2775.0,72.0,62.37500762939453,56.750003814697266,2170.41796875,1753.2467041015625,50.98039245605469,85,89,91,1980,1801,1744
1787463823,17.3,69.0,97.0,464.85,2775.0,72.0,62.37500762939453,56.750003814697266,2170.41796875,1753.2467041015625,50.98039245605469,85,89,91,2006,1796,1739
1787463825,18.8,69.0,96.0,463.44,2782.0,72.0,61.12500762939453,57.750003814697266,2163.46142578125,1741.9354248046875,50.98039245605469,85,89,91,1986,1796,1749
1787463826,20.3,69.0,97.0,461.64,2782.0,72.0,61.12500762939453,57.750003814697266,2163.46142578125,1741.9354248046875,50.98039245605469,85,89,91,1993,1801,1754
1787463828,21.8,69.0,96.0,462.47,2775.0,72.0,62.50000762939453,60.000003814697266,2163.46142578125,1783.3553466796875,50.98039245605469,85,89,91,1980,1801,1744
1787463829,23.3,69.0,95.0,461.1,2782.0,72.0,62.50000762939453,60.000003814697266,2163.46142578125,1783.3553466796875,50.98039245605469,85,89,91,2000,1785,1749
1787463831,24.8,69.0,96.0,463.27,2782.0,72.0,61.62500762939453,55.875003814697266,2160.0,1762.402099609375,50.98039245605469,85,89,91,1993,1801,1749
1787463832,26.3,69.0,96.0,461.07,2782.0,72.0,61.62500762939453,55.875003814697266,2160.0,1762.402099609375,50.98039245605469,85,89,91,2000,1796,1754
1787463834,27.8,69.0,97.0,462.66,2775.0,72.0,61.25000762939453,57.750003814697266,2163.46142578125,1744.18603515625,50.98039245605469,85,89,91,1980,1796,1754
1787463835,29.3,70.0,98.0,469.25,2782.0,72.0,61.25000762939453,57.750003814697266,2163.46142578125,1744.18603515625,50.98039245605469,85,89,91,1980,1785,1749
1787463837,30.8,69.0,93.0,460.97,2782.0,72.0,63.50000762939453,59.500003814697266,2177.41943359375,1778.6561279296875,50.98039245605469,85,89,91,2000,1791,1744
1787463838,32.3,69.0,93.0,466.24,2782.0,72.0,63.50000762939453,59.500003814697266,2177.41943359375,1778.6561279296875,50.98039245605469,85,89,91,1986,1796,1749
1787463840,33.8,69.0,97.0,462.11,2782.0,72.0,61.62500762939453,57.750003814697266,2160.0,1781.002685546875,50.98039245605469,85,89,91,1993,1796,1754
1787463841,35.3,69.0,96.0,459.92,2782.0,72.0,61.62500762939453,57.750003814697266,2160.0,1781.002685546875,50.98039245605469,85,89,91,2006,1801,1754
1787463843,36.8,69.0,96.0,463.66,2782.0,72.0,62.00000762939453,57.250003814697266,2163.46142578125,1746.4423828125,50.98039245605469,85,89,91,2006,1801,1749
1787463844,38.3,69.0,96.0,456.22,2790.0,72.0,62.00000762939453,57.250003814697266,2163.46142578125,1746.4423828125,50.98039245605469,85,89,91,2000,1801,1754
1787463846,39.8,69.0,93.0,450.9,2797.0,72.0,62.25000762939453,59.500003814697266,2156.549560546875,1760.104248046875,50.98039245605469,85,89,91,1980,1796,1744
1787463847,41.3,68.0,91.0,427.5,2797.0,72.0,62.25000762939453,59.500003814697266,2156.549560546875,1760.104248046875,50.98039245605469,85,89,91,1973,1796,1754
1787463849,42.8,67.0,92.0,403.32,2805.0,72.0,65.25000762939453,64.125,2163.46142578125,1778.6561279296875,50.98039245605469,85,89,91,1980,1807,1754
1787463850,44.3,68.0,90.0,416.42,2797.0,72.0,65.25000762939453,64.125,2163.46142578125,1778.6561279296875,50.98039245605469,85,89,91,1986,1796,1749
1787463852,45.8,68.0,95.0,446.7,2797.0,72.0,63.87500762939453,58.625003814697266,2156.549560546875,1762.402099609375,50.98039245605469,85,89,91,1993,1796,1744
1787463853,47.3,68.0,96.0,428.48,2797.0,72.0,63.87500762939453,58.625003814697266,2156.549560546875,1762.402099609375,50.98039245605469,85,89,91,1986,1796,1754
1787463855,48.8,68.0,97.0,421.22,2797.0,72.0,65.12500762939453,60.875003814697266,2163.46142578125,1746.4423828125,50.98039245605469,85,89,91,1993,1796,1754
1787463856,50.3,68.0,95.0,435.97,2790.0,72.0,65.12500762939453,60.875003814697266,2163.46142578125,1746.4423828125,50.98039245605469,85,89,91,1986,1801,1754
1787463858,51.8,68.0,96.0,432.8,2797.0,72.0,65.00000762939453,63.250003814697266,2166.93408203125,1781.002685546875,50.98039245605469,85,89,91,1986,1801,1749
1787463859,53.3,68.0,94.0,425.04,2797.0,72.0,65.50000762939453,60.000003814697266,2166.93408203125,1781.002685546875,50.98039245605469,85,89,91,1980,1801,1744
1787463861,54.8,68.0,94.0,419.45,2797.0,72.0,63.75000762939453,60.875003814697266,2163.46142578125,1737.4517822265625,50.98039245605469,85,89,91,1986,1791,1754
1787463862,56.3,67.0,93.0,436.04,2790.0,72.0,64.00000762939453,62.250003814697266,2163.46142578125,1760.104248046875,50.98039245605469,85,89,91,2000,1796,1754
1787463864,57.8,68.0,96.0,445.35,2790.0,72.0,63.12500762939453,56.750003814697266,2163.46142578125,1739.690673828125,50.98039245605469,85,89,91,2006,1801,1744
1787463865,59.3,68.0,96.0,455.7,2790.0,72.0,62.87500762939453,57.750003814697266,2163.46142578125,1739.690673828125,50.98039245605469,85,89,91,1986,1801,1749
1787463867,60.8,68.0,97.0,453.24,2790.0,72.0,62.87500762939453,57.750003814697266,2163.46142578125,1739.690673828125,50.98039245605469,85,89,91,2000,1796,1749
1787463868,62.3,68.0,94.0,446.14,2797.0,72.0,61.50000762939453,59.125003814697266,2156.549560546875,1778.6561279296875,50.98039245605469,85,89,91,2000,1807,1754
1787463870,63.8,68.0,95.0,449.03,2790.0,72.0,61.50000762939453,59.125003814697266,2156.549560546875,1778.6561279296875,50.98039245605469,85,89,91,2000,1791,1754
1787463871,65.3,68.0,88.0,445.09,2797.0,72.0,61.25000762939453,60.750003814697266,2163.46142578125,1778.6561279296875,50.98039245605469,85,89,91,2006,1801,1749
1787463873,66.8,67.0,94.0,427.32,2797.0,72.0,61.25000762939453,60.750003814697266,2163.46142578125,1778.6561279296875,50.98039245605469,85,89,91,2000,1807,1749
1787463874,68.3,67.0,92.0,421.27,2797.0,72.0,62.87500762939453,58.125003814697266,2163.46142578125,1746.4423828125,50.98039245605469,85,89,91,2006,1801,1744
1787463876,69.8,67.0,94.0,399.01,2797.0,72.0,62.87500762939453,58.125003814697266,2163.46142578125,1746.4423828125,50.98039245605469,85,89,91,2000,1801,1754
1787463877,71.3,67.0,96.0,411.97,2797.0,72.0,64.00000762939453,58.750003814697266,2163.46142578125,1781.002685546875,50.98039245605469,85,89,91,1986,1807,1744
